i,t,axis_pos,axis_vel,mapper_pos_rel,mapper_pos_abs,working_offset,encoder_estimator_pos,spi_raw,spi_errors,spi_status
0,3.7960708141326904e-06,0.9869676828384399,-0.004306972026824951,0.9869612455368042,0.9839650392532349,-0.00299072265625,0.9839619398117065,0.9839630126953125,0,0
1,0.022744558984413743,0.9868553876876831,0.1034582257270813,0.986828625202179,0.9838257431983948,-0.00299072265625,0.9838092923164368,0.9837799072265625,0,0
2,0.04525028611533344,0.9865901470184326,-0.0059906248934566975,0.9865871667861938,0.98359614610672,-0.00299072265625,0.9835960865020752,0.98358154296875,0,0
3,0.06773427198641002,0.9863836765289307,-0.010855854488909245,0.9863739609718323,0.983381986618042,-0.00299072265625,0.9833773374557495,0.983367919921875,0,0
4,0.0902641098946333,0.983415424823761,-0.04156025871634483,0.9852622151374817,0.9827260971069336,-0.00299072265625,0.9831724166870117,0.983154296875,0,0
5,0.11274335510097444,0.9858049154281616,0.3932333290576935,0.9860125780105591,0.9830725789070129,-0.00299072265625,0.9830820560455322,0.98297119140625,0,0
6,0.13521482306532562,0.9858033061027527,-0.006035864818841219,0.9857962727546692,0.982804000377655,-0.00299072265625,0.9828027486801147,0.9828033447265625,0,0
7,0.1577392159961164,0.9856722950935364,-0.006475449539721012,0.9856712222099304,0.9826804399490356,-0.00299072265625,0.9826807379722595,0.9826812744140625,0,0
8,0.18021555407904088,0.9855644106864929,-0.003264250233769417,0.9855649471282959,0.982567548751831,-0.00299072265625,0.9825608730316162,0.9825592041015625,0,0
9,0.20290355803444982,0.9854421019554138,-0.006237031891942024,0.9818909168243408,0.98024982213974,-0.00299072265625,0.9816933870315552,0.9824371337890625,0,0
10,0.22546667396090925,0.9853564500808716,0.05013400316238403,0.9853461384773254,0.9823445677757263,-0.00299072265625,0.9823314547538757,0.9823150634765625,0,0
11,0.24799323407933116,0.9852222204208374,0.009051263332366943,0.9852083325386047,0.9822149276733398,-0.00299072265625,0.9822118878364563,0.982208251953125,0,0
12,0.27047688607126474,0.9851396679878235,0.0007367134094238281,0.9851394891738892,0.9821486473083496,-0.00299072265625,0.9821393489837646,0.9821319580078125,0,0
13,0.2929942610207945,0.985110878944397,0.0030091702938079834,0.9851100444793701,0.982119083404541,-0.00299072265625,0.9821187257766724,0.98211669921875,0,0
14,0.31549080298282206,0.9852086901664734,0.18439361453056335,0.9851882457733154,0.9821872711181641,-0.00299072265625,0.9821690917015076,0.98211669921875,0,0
15,0.3379818629473448,0.9851189255714417,0.014997005462646484,0.9851157665252686,0.982123851776123,-0.00299072265625,0.9821220636367798,0.98211669921875,0,0
16,0.3604666639585048,0.9851439595222473,0.04780161380767822,0.9851294159889221,0.9821352958679199,-0.00299072265625,0.9793499112129211,0.98211669921875,0,0
17,0.3831060570664704,0.9851095676422119,0.0013698935508728027,0.985109269618988,0.9821184277534485,-0.00299072265625,0.9793381690979004,0.98211669921875,0,0
18,0.40549069200642407,0.9851215481758118,0.018819034099578857,0.9851176142692566,0.9821254014968872,-0.00299072265625,0.9821231365203857,0.98211669921875,0,0
19,0.4278766599018127,0.985278844833374,0.5549702644348145,0.9808619618415833,0.9795259237289429,-0.00299072265625,0.9812832474708557,0.98211669921875,0,0
20,0.4503687380347401,0.9851086735725403,-0.00010541082156123593,0.9851086735725403,0.9821179509162903,-0.00299072265625,0.9821179509162903,0.959808349609375,0,0
21,0.47272240999154747,0.9851322770118713,0.03477051854133606,0.9851251840591431,0.9821317195892334,-0.00299072265625,0.9821274876594543,0.98211669921875,0,0
22,0.495346006937325,0.9851095676422119,0.0014065802097320557,0.9795322418212891,0.9785938858985901,-0.00299072265625,0.9808157086372375,0.98211669921875,0,0
23,0.5179729741066694,0.9851096868515015,0.001481086015701294,0.9851093292236328,0.9821184873580933,-0.00299072265625,0.9821183085441589,0.98211669921875,0,0
24,0.5404738669749349,0.9851086735725403,0.00011023879051208496,0.9851086735725403,0.9821179509162903,-0.00299072265625,0.9821179509162903,0.98211669921875,0,0
25,0.5632516120094806,0.9851586818695068,0.3415927588939667,0.9852199554443359,0.9822287559509277,-0.00299072265625,0.9822132587432861,0.98211669921875,0,0
26,0.5857462640851736,0.9851086735725403,6.318091891444055e-06,0.9851086735725403,0.9821179509162903,-0.00299072265625,0.9821179509162903,0.98211669921875,0,0
27,0.608242454007268,0.9852533340454102,0.34707629680633545,0.9852453470230103,0.9822420477867126,-0.00299072265625,0.9822144508361816,0.98211669921875,0,0
28,0.6307439589872956,0.9851086735725403,6.553530693054199e-05,0.9851086735725403,0.9821179509162903,-0.00299072265625,0.9821179509162903,0.98211669921875,0,0
29,0.6531428340822458,0.9851086139678955,-0.00022503735090140253,0.9851086139678955,0.9765408039093018,-0.00299072265625,0.9799395799636841,0.98211669921875,0,0
