i,t_epoch,t_rel,filtered_position_deg,measured_position_deg,filtered_delta_deg,measured_delta_deg,velocity_deg_per_sec,raw_velocity_deg_per_sec,pending_confirmation,glitch_rejected,raw_position_deg,pos_estimate,vel_estimate,error
0,1782788562.8820438,0.003805057844147086,16.293917140893296,16.28365625,,,0.0,11.635173261165619,False,False,16.34765625,0.04541015625,0.03231992572546005,
1,1782788562.935919,0.05570661695674062,16.290555673036653,16.28365625,-0.0033614678566493694,0.0,0.0,0.045345425605773926,False,False,16.34765625,0.04541015625,0.00012595951557159424,
2,1782788562.9878519,0.10758947301656008,16.288295422049845,16.28365625,-0.0022602509868079323,0.0,0.0,0.04802897572517395,False,False,16.34765625,0.04541015625,0.00013341382145881653,
3,1782788563.0397146,0.15967899491079152,16.286775629286318,16.28365625,-0.0015197927635313135,0.0,0.0,6.544339209794998,False,False,16.34765625,0.04541015625,0.018178720027208328,
4,1782788563.0917957,0.21127916499972343,16.285376175918337,16.28365625,-0.001399453367980641,0.0,0.0,0.24650640785694122,False,False,16.34765625,0.04541015625,0.0006847400218248367,
5,1782788563.143355,0.2628604278434068,16.300633040687494,16.371546875,0.015256864769156664,0.087890625,0.0,7.888109162449837,False,False,16.435546875,0.045654296875,0.021911414340138435,
6,1782788563.1949759,0.3147829498630017,16.31089175655827,16.371546875,0.010258715870776314,0.0,0.0,2.086491733789444,False,False,16.435546875,0.045654296875,0.005795810371637344,
7,1782788563.246903,0.36662958399392664,16.330762373359782,16.371546875,0.019870616801512142,0.0,0.0,0.4878857731819153,False,False,16.435546875,0.045654296875,0.0013552382588386536,
8,1782788563.2987452,0.4183452359866351,16.344123376097116,16.371546875,0.013361002737326544,0.0,0.0,0.03726929426193237,False,False,16.435546875,0.045654296875,0.00010352581739425659,
9,1782788563.3504615,0.4701072759926319,16.353107314337702,16.371546875,0.00898393824058985,0.0,0.0,-0.03247887158067897,False,False,16.435546875,0.045654296875,-9.021908772410825e-05,
10,1782788563.402223,0.521844353992492,16.35914811441067,16.371546875,0.006040800072980801,0.0,0.0,-0.08076064812485129,False,False,16.435546875,0.045654296875,-0.00022433513368014246,
11,1782788563.453963,0.5735770240426064,16.363209948379737,16.371546875,0.004061833969075224,0.0,0.0,-0.08076601254288107,False,False,16.435546875,0.045654296875,-0.0002243500348413363,
12,1782788563.5056932,0.6253206948749721,16.365941125540534,16.371546875,0.0027311771607969604,0.0,0.0,9.709286168217659,False,False,16.435546875,0.045654296875,0.026970239356160164,
13,1782788563.5574381,0.677100142929703,16.367777569063453,16.371546875,0.001836443522904574,0.0,0.0,0.1337946206331253,False,False,16.435546875,0.045654296875,0.0003716517239809036,
14,1782788563.6092155,0.7289110168348998,16.369012393688266,16.371546875,0.0012348246248166106,0.0,0.0,-0.08078948187176138,False,False,16.435546875,0.045654296875,-0.0002244152274215594,
15,1782788563.6610253,0.7805288720410317,16.369842689765992,16.371546875,0.0008302960777371027,0.0,0.0,2.810623124241829,False,False,16.435546875,0.045654296875,0.0078072864562273026,
16,1782788563.7126617,0.8321685800328851,16.370400980848654,16.371546875,0.000558291082654705,0.0,0.0,8.907274156808853,False,False,16.435546875,0.045654296875,0.024742428213357925,
17,1782788563.7642832,0.8837368979584426,16.370776375772632,16.371546875,0.00037539492399218943,0.0,0.0,-0.03521673643263057,False,False,16.435546875,0.045654296875,-9.782426786841825e-05,
18,1782788563.8158514,0.9354412539396435,16.34223582256952,16.28365625,-0.02854055320310067,-0.087890625,0.0,0.04792168736457825,False,False,16.34765625,0.04541015625,0.00013311579823493958,
19,1782788563.867556,0.9869972569867969,16.323045154595746,16.28365625,-0.0191906679737599,0.0,0.0,0.045234113931655884,False,False,16.34765625,0.04541015625,0.0001256503164768219,
20,1782788563.91911,1.0385456308722496,16.321194344049147,16.371546875,-0.0018508105466139568,0.087890625,0.0,2.07834854722023,False,False,16.435546875,0.045654296875,0.005773190408945084,
21,1782788563.9706593,1.0901320609264076,16.337689833188644,16.371546875,0.016495489139487063,0.0,0.0,3.9317382127046585,False,False,16.435546875,0.045654296875,0.010921495035290718,
22,1782788564.0222456,1.1418114718981087,16.348781400086047,16.371546875,0.011091566897391658,0.0,0.0,-0.0808565370971337,False,False,16.435546875,0.045654296875,-0.0002246014919364825,
23,1782788564.073925,1.1934390310198069,16.35623936966786,16.371546875,0.007457969581821544,0.0,0.0,0.6004138290882111,False,False,16.435546875,0.045654296875,0.0016678161919116974,
24,1782788564.125553,1.2451786089222878,16.332461139664673,16.28365625,-0.023778230003188128,-0.087890625,0.0,0.2356327325105667,False,False,16.34765625,0.04541015625,0.0006545353680849075,
25,1782788564.1773005,1.296929667936638,16.31647265781053,16.28365625,-0.01598848185415136,0.0,0.0,0.039825439453125,False,False,16.34765625,0.04541015625,0.000110626220703125,
