i,t_rel,axis0.pos_estimate,axis0.vel_estimate,axis0.pos_vel_mapper.pos_rel,axis0.pos_vel_mapper.pos_abs,axis0.pos_vel_mapper.vel,axis0.pos_vel_mapper.working_offset,encoder_estimator0.pos_estimate,encoder_estimator0.vel_estimate,spi_encoder0.raw,spi_encoder0.n_errors,spi_encoder0.status,spi_encoder0.warning,onboard_encoder0.raw,onboard_encoder0.status,axis0.active_errors,axis0.pos_estimate.delta,axis0.pos_vel_mapper.pos_rel.delta,encoder_estimator0.pos_estimate.delta,spi_encoder0.raw.delta,onboard_encoder0.raw.delta
0,2.0370353013277054e-06,0.05692148208618164,0.07726198434829712,0.05690610408782959,,0.04488176107406616,0.0,0.9964015483856201,0.023707211017608643,0.9963836669921875,0.0,0.0,0.0,0.6812744140625,0.0,268435969.0,,,,,
1,0.05437348899431527,0.056869566440582275,-0.00018680097127798945,0.056869566440582275,,-0.00023895503545645624,0.0,0.9963837265968323,-0.00023895503545645624,0.9963836669921875,0.0,0.0,0.0,0.1241455078125,0.0,268435969.0,-5.1915645599365234e-05,-3.653764724731445e-05,-1.7821788787841797e-05,0.0,-0.55712890625
2,0.10849694209173322,0.0522347092628479,-0.43889179825782776,0.05557471513748169,,0.4774998426437378,0.0,0.9964118003845215,0.500559389591217,0.9963836669921875,0.0,0.0,0.0,0.104736328125,0.0,268435969.0,-0.004634857177734375,-0.001294851303100586,2.8073787689208984e-05,0.0,-0.0194091796875
3,0.16260934015735984,0.056869566440582275,-4.523992902250029e-05,0.056869566440582275,,-8.994341624202207e-05,0.0,0.9963837265968323,-0.00013464690709952265,0.9963836669921875,0.0,0.0,0.0,0.79925537109375,0.0,268435969.0,0.004634857177734375,0.001294851303100586,-2.8073787689208984e-05,0.0,0.69451904296875
4,0.2167423670180142,0.056869566440582275,-0.00023138524556998163,0.056869566440582275,,-0.00023138524556998163,0.0,0.9963837265968323,-0.00023883582616690546,0.9963836669921875,0.0,0.0,0.0,0.3963623046875,0.0,268435969.0,0.0,0.0,0.0,0.0,-0.40289306640625
5,0.2708740602247417,0.056870341300964355,0.0010722875595092773,0.05687004327774048,,0.0006103515625,0.0,0.9963839054107666,0.000394284725189209,0.9963836669921875,0.0,0.0,0.0,0.2091064453125,0.0,268435969.0,7.748603820800781e-07,4.76837158203125e-07,1.7881393432617188e-07,0.0,-0.187255859375
6,0.32512190216220915,0.0568697452545166,0.00023043155670166016,0.05686962604522705,,0.00014847517013549805,0.0,0.9963837265968323,0.00010377168655395508,0.9963836669921875,0.0,0.0,0.0,0.39971923828125,0.0,268435969.0,-5.960464477539062e-07,-4.172325134277344e-07,-1.7881393432617188e-07,0.0,0.19061279296875
7,0.37912335502915084,0.05687582492828369,0.009193778038024902,0.05687350034713745,,0.00488734245300293,0.0,0.9963855743408203,0.00288313627243042,0.9963836669921875,0.0,0.0,0.0,0.311279296875,0.0,268435969.0,6.079673767089844e-06,3.874301910400391e-06,1.8477439880371094e-06,0.0,-0.08843994140625
8,0.4332846971228719,0.056869566440582275,-0.00014930964971426874,0.056869566440582275,,-0.0001940131332958117,0.0,0.9963837265968323,-0.00023871661687735468,0.9963836669921875,0.0,0.0,0.0,0.230224609375,0.0,268435969.0,-6.258487701416016e-06,-3.933906555175781e-06,-1.8477439880371094e-06,0.0,-0.0810546875
9,0.4873762431088835,0.05701714754104614,0.3293007016181946,0.05700165033340454,,0.20731234550476074,0.0,0.9964627027511597,0.12483441829681396,0.9963836669921875,0.0,0.0,0.0,0.4991455078125,0.0,268435969.0,0.0001475811004638672,0.00013208389282226562,7.897615432739258e-05,0.0,0.2689208984375
10,0.5413874560035765,0.05686986446380615,0.0005438327789306641,0.0568697452545166,,0.0003352165222167969,0.0,0.9963839054107666,0.00017130374908447266,0.9963836669921875,0.0,0.0,0.0,0.40692138671875,0.0,268435969.0,-0.00014728307723999023,-0.00013190507888793945,-7.87973403930664e-05,0.0,-0.09222412109375
11,0.595498780021444,0.056869566440582275,8.20159912109375e-05,0.056869566440582275,,3.731250762939453e-05,0.0,0.9963837265968323,-7.39097731639049e-06,0.9963836669921875,0.0,0.0,0.0,0.37872314453125,0.0,268435969.0,-2.980232238769531e-07,-1.7881393432617188e-07,-1.7881393432617188e-07,0.0,-0.0281982421875
12,0.6496336031705141,0.056995689868927,0.20792347192764282,0.05696141719818115,,0.12519222497940063,0.0,0.9964325428009033,0.07376086711883545,0.9963836669921875,0.0,0.0,0.0,0.88372802734375,0.0,268435969.0,0.00012612342834472656,9.185075759887695e-05,4.881620407104492e-05,0.0,0.5050048828125
13,0.7038719821721315,0.056881487369537354,0.015735745429992676,0.056877076625823975,,0.00906747579574585,0.0,0.9963873028755188,0.005237877368927002,0.9963836669921875,0.0,0.0,0.0,0.55224609375,0.0,268435969.0,-0.00011420249938964844,-8.434057235717773e-05,-4.5239925384521484e-05,0.0,-0.33148193359375
14,0.7581197121180594,0.056869566440582275,-0.00023114682699088007,0.056869566440582275,,-0.00023114682699088007,0.0,0.9963837265968323,-0.00023114682699088007,0.9963836669921875,0.0,0.0,0.0,0.3941650390625,0.0,268435969.0,-1.1920928955078125e-05,-7.510185241699219e-06,-3.5762786865234375e-06,0.0,-0.1580810546875
15,0.8122642950620502,0.056948840618133545,0.11487281322479248,0.056922733783721924,,0.06753182411193848,0.0,0.9964103698730469,0.03931647539138794,0.9963836669921875,0.0,0.0,0.0,0.5531005859375,0.0,268435969.0,7.927417755126953e-05,5.316734313964844e-05,2.664327621459961e-05,0.0,0.158935546875
16,0.8663784710224718,0.056869566440582275,-0.00021666289831046015,0.056869566440582275,,-0.00023901464010123163,0.0,0.9963837265968323,-0.00023901464010123163,0.9963836669921875,0.0,0.0,0.0,0.062744140625,0.0,268435969.0,-7.927417755126953e-05,-5.316734313964844e-05,-2.664327621459961e-05,0.0,-0.4903564453125
17,0.9203706472180784,0.05690950155258179,0.05443328619003296,0.056895315647125244,,-3.6495707035064697,0.0,0.9946739673614502,0.21860697865486145,0.9963836669921875,0.0,0.0,0.0,0.04876708984375,0.0,268435969.0,3.993511199951172e-05,2.574920654296875e-05,-0.00170975923538208,0.0,-0.01397705078125
18,0.9746550992131233,0.056869566440582275,-0.00023114682699088007,0.056869566440582275,,-0.00023114682699088007,0.0,0.9963837265968323,-0.00023114682699088007,0.9963836669921875,0.0,0.0,0.0,0.8892822265625,0.0,268435969.0,-3.993511199951172e-05,-2.574920654296875e-05,0.00170975923538208,0.0,0.84051513671875
19,1.0288792562205344,0.056869566440582275,-0.00023108722234610468,0.056869566440582275,,-0.0002385378029430285,0.0,0.9963837265968323,-0.0002385378029430285,0.9963836669921875,0.0,0.0,0.0,0.92626953125,0.0,268435969.0,0.0,0.0,0.0,0.0,0.0369873046875
20,1.0836275201290846,0.05687755346298218,0.010706543922424316,0.056874632835388184,,0.006184041500091553,0.0,0.9905194044113159,-1.3123303651809692,0.9963836669921875,0.0,0.0,0.0,0.6837158203125,0.0,268435969.0,7.987022399902344e-06,5.066394805908203e-06,-0.005864322185516357,0.0,-0.2425537109375
21,1.1377599730622023,0.056872546672821045,0.004381120204925537,0.05687159299850464,,0.002570629119873047,0.0,0.9963846802711487,0.0015126466751098633,0.9963836669921875,0.0,0.0,0.0,0.42388916015625,0.0,268435969.0,-5.0067901611328125e-06,-3.039836883544922e-06,0.005865275859832764,0.0,-0.25982666015625
22,1.191881945123896,0.056871235370635986,0.0026673078536987305,0.05687075853347778,,0.0015720725059509277,0.0,0.99638432264328,0.0009015202522277832,0.9963836669921875,0.0,0.0,0.0,0.827880859375,0.0,268435969.0,-1.3113021850585938e-06,-8.344650268554688e-07,-3.5762786865234375e-07,0.0,0.40399169921875
23,1.2458946770057082,0.056869566440582275,-0.0001267194893443957,0.056869566440582275,,-0.0001788735535228625,0.0,0.9963837265968323,-0.00022357703710440546,0.9963836669921875,0.0,0.0,0.0,0.4404296875,0.0,268435969.0,-1.6689300537109375e-06,-1.1920928955078125e-06,-5.960464477539062e-07,0.0,-0.387451171875
24,1.3001058150548488,0.056870341300964355,0.0010799169540405273,0.0568699836730957,,0.0005658268928527832,0.0,0.9963839054107666,0.00034230947494506836,0.9963836669921875,0.0,0.0,0.0,0.1768798828125,0.0,268435969.0,7.748603820800781e-07,4.172325134277344e-07,1.7881393432617188e-07,0.0,-0.2635498046875
25,1.354501378023997,0.0568731427192688,0.0047986507415771484,0.056871771812438965,,0.0028093457221984863,0.0,0.9963847994804382,0.001654505729675293,0.9963836669921875,0.0,0.0,0.0,0.20721435546875,0.0,268435969.0,2.8014183044433594e-06,1.7881393432617188e-06,8.940696716308594e-07,0.0,0.03033447265625
26,1.4086316640023142,0.056869566440582275,-0.00024539235164411366,0.056869566440582275,,-0.00024539235164411366,0.0,0.9963837265968323,-0.00024539235164411366,0.9963836669921875,0.0,0.0,0.0,0.8104248046875,0.0,268435969.0,-3.5762786865234375e-06,-2.205371856689453e-06,-1.0728836059570312e-06,0.0,0.60321044921875
27,1.4626642111688852,0.05639088153839111,1.2692296504974365,0.057115793228149414,,0.9762130379676819,0.0,0.9967195391654968,0.6379268765449524,0.9963836669921875,0.0,0.0,0.0,0.40863037109375,0.0,268435969.0,-0.0004786849021911621,0.00024622678756713867,0.0003358125686645508,0.0,-0.40179443359375
28,1.5168891630601138,0.0568697452545166,0.00027561187744140625,0.0568697452545166,,0.00014895200729370117,0.0,0.9963837265968323,0.0001042485237121582,0.9669342041015625,0.0,0.0,0.0,0.78057861328125,0.0,268435969.0,0.0004788637161254883,-0.0002460479736328125,-0.0003358125686645508,-0.029449462890625,0.3719482421875
