i,t_rel,timestamp,pos_estimate,vel_estimate,raw_position_deg,filtered_position_deg,position_deg,measured_position_deg,velocity_deg_per_sec,raw_velocity_deg_per_sec,current,pos_estimate_delta,raw_position_delta_deg,position_delta_deg,error
0,4.389090463519096e-06,2026-06-30T15:04:18.021+07:00,-0.001972794532775879,-0.021102547645568848,-1.1836767196655273,22.877059009189864,22.877059009189864,358.75232328033445,-175.4618736390905,-12.661528587341309,0.0,,,,
1,0.05459943413734436,2026-06-30T15:04:18.073+07:00,-0.001740097999572754,0.004259229637682438,-1.0440587997436523,9.010910980901302,9.010910980901302,358.8919412002563,-222.77128571253144,2.5555377826094627,0.0,0.000232696533203125,0.139617919921875,-13.866148028288563,
2,0.10640733712352812,2026-06-30T15:04:18.122+07:00,-0.00140458345413208,0.005980313755571842,-0.842750072479248,3.260558786830693,3.260558786830693,359.09324992752073,-158.41640200832734,3.5881882533431053,0.0,0.00033551454544067383,0.2013087272644043,-5.750352194070615,
3,0.1582061650697142,2026-06-30T15:04:18.170+07:00,-0.0011603236198425293,0.008990348316729069,-0.6961941719055176,0.9218950834362537,0.9218950834362537,359.23980582809446,-93.62130358234762,5.394208990037441,0.0,0.0002442598342895508,0.14655590057373047,-2.3386637033944453,
4,0.21014808607287705,2026-06-30T15:04:18.221+07:00,-0.0008414387702941895,0.008446449413895607,-0.5048632621765137,0.036354363891023644,0.036354363891023644,359.43113673782346,-49.06640818962285,5.067869648337364,0.0,0.00031888484954833984,0.1913309097290039,-0.8855407195452187,
5,0.2617931931745261,2026-06-30T15:04:18.271+07:00,-0.0005476474761962891,0.010301625356078148,-0.32858848571777344,359.77134265993277,359.77134265993277,359.6074115142822,-23.564627324698954,6.180975213646889,0.0,0.0002937912940979004,0.17627477645874023,-0.2650117039581801,
6,0.31360017019324005,2026-06-30T15:04:18.321+07:00,-0.0004887580871582031,0.0032906029373407364,-0.2932548522949219,359.69722404523344,359.69722404523344,359.64274514770506,-10.776147956449854,1.9743617624044418,0.0,5.888938903808594e-05,0.03533363342285156,-0.07411861469933001,
7,0.3652247760910541,2026-06-30T15:04:18.372+07:00,-0.0005782842636108398,-0.005784212611615658,-0.3469705581665039,359.64669349573336,359.64669349573336,359.5890294418335,-5.1667283349922055,-3.4705275669693947,0.0,-8.952617645263672e-05,-0.05371570587158203,-0.05053054950008118,
8,0.4169185122009367,2026-06-30T15:04:18.448+07:00,-0.0013439655303955078,-0.014680244028568268,-0.8063793182373047,359.37377540554183,359.37377540554183,359.1296206817627,-4.3355641723411145,-8.80814641714096,0.0,-0.000765681266784668,-0.4594087600708008,-0.27291809019152424,
9,0.4687989891972393,2026-06-30T15:04:18.496+07:00,0.06030052900314331,0.0033546090126037598,36.180317401885986,12.118149197901232,12.118149197901232,36.116317401885986,184.23631796289223,2.012765407562256,0.0,0.06164449453353882,36.98669672012329,12.744373792359397,
