i,t_rel,error,timestamp,pos_estimate,raw_position_deg,measured_position_deg,filtered_position_deg,position_deg,vel_estimate,velocity_deg_per_sec,raw_velocity_deg_per_sec,pos_estimate_scaled_deg_0p06,pos_estimate_mod_0p06,pos_estimate_delta,raw_position_deg_delta,measured_position_deg_delta,filtered_position_deg_delta,position_deg_delta,velocity_deg_per_sec_delta,raw_velocity_deg_per_sec_delta
0,5.832873284816742e-06,,2026-06-30T15:11:30.354+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,339.2909598413969,339.2909598413969,-5.6028369726845995e-05,7.739710324242429,-0.33617021836107597,341.21739864349365,0.056869566440582275,,,,,,,
1,0.05766003602184355,,2026-06-30T15:11:30.396+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,339.94281342213077,339.94281342213077,5.5909156799316406e-05,10.47265775713448,0.33545494079589844,341.21739864349365,0.056869566440582275,0.0,0.0,0.0,0.6518535807338708,0.6518535807338708,2.7329474328920504,0.6716251591569744
2,0.11042787902988493,,2026-06-30T15:11:30.450+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,340.3665182496078,340.3665182496078,-0.0002195835259044543,9.554658783557343,-1.3175011554267257,341.21739864349365,0.056869566440582275,0.0,0.0,0.0,0.42370482747702454,0.42370482747702454,-0.9179989735771361,-1.6529560962226242
3,0.16209772299043834,,2026-06-30T15:11:30.498+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,341.0239357256723,341.0239357256723,-0.0002424717094982043,10.68156662129505,-1.4548302569892257,341.21739864349365,0.056869566440582275,0.0,0.0,0.0,0.6574174760644951,0.6574174760644951,1.126907837737706,-0.1373291015625
4,0.21390010486356914,,2026-06-30T15:11:30.551+07:00,0.056870341300964355,341.22204780578613,341.1580478057861,341.11651847520005,341.11651847520005,0.0011578202247619629,5.3915959509992755,6.946921348571777,341.22204780578613,0.056870341300964355,7.748603820800781e-07,0.004649162292480469,0.004649162292480469,0.09258274952776446,0.09258274952776446,-5.289970670295774,8.401751605561003
5,0.2657492449507117,,2026-06-30T15:11:30.598+07:00,0.04950755834579468,297.04535007476807,296.98135007476805,325.6803660248996,325.6803660248996,-1.9270824193954468,-223.58313428457043,-11562.49451637268,297.04535007476807,0.04950755834579468,-0.007362782955169678,-44.176697731018066,-44.176697731018066,-15.436152450300426,-15.436152450300426,-228.97473023556972,-11569.441437721252
6,0.31740279286168516,,2026-06-30T15:11:30.649+07:00,0.0571250319480896,342.7501916885376,342.6861916885376,335.34054367391667,335.34054367391667,0.4710724949836731,12.998094246993617,2826.4349699020386,342.7501916885376,0.0571250319480896,0.007617473602294922,45.70484161376953,45.70484161376953,9.660177649017044,9.660177649017044,236.58122853156405,14388.92948627472
7,0.36903617484495044,,2026-06-30T15:11:30.724+07:00,0.0539931058883667,323.9586353302002,323.8946353302002,333.51647618782084,333.51647618782084,-0.1770833283662796,-43.45240890410342,-1062.4999701976776,323.9586353302002,0.0539931058883667,-0.0031319260597229004,-18.791556358337402,-18.791556358337402,-1.824067486095828,-1.824067486095828,-56.45050315109704,-3888.934940099716
8,0.4207277789246291,,2026-06-30T15:11:30.774+07:00,0.0569881796836853,341.9290781021118,341.8650781021118,338.17678168022957,338.17678168022957,0.4264211654663086,34.01062796229769,2558.5269927978516,341.9290781021118,0.0569881796836853,0.0029950737953186035,17.97044277191162,17.97044277191162,4.660305492408725,4.660305492408725,77.46303686640111,3621.026962995529
9,0.4723958829417825,,2026-06-30T15:11:30.824+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,339.9170130252855,339.9170130252855,-0.00022852422262076288,33.53616231955713,-1.3711453357245773,341.21739864349365,0.056869566440582275,-0.00011861324310302734,-0.7116794586181641,-0.7116794586181641,1.7402313450559177,1.7402313450559177,-0.4744656427405616,-2559.898138133576
10,0.5239449308719486,,2026-06-30T15:11:30.874+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,340.63354789034435,340.63354789034435,-0.00023657084966544062,22.03496576319209,-1.4194250979926437,341.21739864349365,0.056869566440582275,0.0,0.0,0.0,0.7165348650588612,0.7165348650588612,-11.501196556365038,-0.048279762268066406
