i,t,axis_pos,axis_vel,mapper_pos_rel,mapper_pos_abs,working_offset,encoder_estimator_pos,spi_raw,spi_errors,spi_status
0,2.2600870579481125e-06,0.0020759105682373047,0.254310667514801,0.0020476579666137695,0.9990427494049072,-0.00299072265625,0.9913349747657776,0.9989471435546875,0,0
1,0.02240406209602952,0.0019379854202270508,0.0001043081283569336,0.0019379854202270508,0.998947262763977,-0.00299072265625,0.998947262763977,0.9989471435546875,0,0
2,0.04487099312245846,0.0019440650939941406,0.00893312692642212,0.0019421577453613281,0.998950719833374,-0.00299072265625,0.9989494681358337,0.9989471435546875,0,0
3,0.06761877494864166,0.002344369888305664,0.5902723073959351,0.0022008419036865234,0.9991731643676758,-0.00299072265625,0.9991109371185303,0.9989471435546875,0,0
4,0.09036859404295683,0.001961946487426758,0.03232085704803467,0.0019533634185791016,0.998960018157959,-0.00299072265625,0.9989553689956665,0.9989471435546875,0,0
5,0.1131198019720614,0.0019540786743164062,0.023543834686279297,0.0019490718841552734,0.9989564418792725,-0.00299072265625,0.9928314685821533,0.9989471435546875,0,0
6,0.1354946589563042,0.0006768703460693359,0.5787463784217834,0.001787424087524414,0.9989700317382812,-0.00299072265625,0.999113917350769,0.9989471435546875,0,0
7,0.15913030807860196,0.0019407272338867188,0.004194796085357666,0.0019398927688598633,0.9989488124847412,-0.00299072265625,0.998948335647583,0.9989471435546875,0,0
8,0.18163838796317577,0.0021020174026489258,0.6482898592948914,0.002156972885131836,0.9991550445556641,-0.00299072265625,0.9991179704666138,0.9989471435546875,0,0
9,0.20411494793370366,0.0020083189010620117,0.10669970512390137,0.001987934112548828,0.9989892244338989,-0.00299072265625,0.9989767074584961,0.9989471435546875,0,0
10,0.22657367610372603,0.0019477605819702148,0.014491438865661621,0.0019447803497314453,0.9989528656005859,-0.00299072265625,0.9989508390426636,0.9989471435546875,0,0
11,0.2491315701045096,0.0019378662109375,-0.00023835900356061757,0.0019378662109375,0.9912643432617188,-0.00299072265625,0.995945394039154,0.9989471435546875,0,0
12,0.2714982239995152,0.0019378662109375,-0.0002311468415427953,0.0019378662109375,0.9989471435546875,-0.00299072265625,0.9989471435546875,0.9989471435546875,0,0
13,0.2940074880607426,0.0019452571868896484,0.00975954532623291,0.0019421577453613281,0.998950719833374,-0.00299072265625,0.9989497065544128,0.9989471435546875,0,0
14,0.3166478080675006,0.002071380615234375,0.20230436325073242,0.0020329952239990234,0.9990270137786865,-0.00299072265625,0.9990032315254211,0.9989471435546875,0,0
15,0.33902372093871236,0.002096891403198242,0.2537129521369934,0.002043008804321289,0.9990370273590088,-0.00299072265625,0.9990119338035583,0.9989471435546875,0,0
16,0.3616262620780617,0.001938939094543457,0.0014289021492004395,0.0019385814666748047,0.9989476203918457,-0.00299072265625,0.9989475607872009,0.9989471435546875,0,0
17,0.3843852849677205,0.0019379854202270508,-1.6272069842671044e-05,0.0019379854202270508,0.9928250908851624,-0.00299072265625,0.9966140985488892,0.9989471435546875,0,0
18,0.40712610399350524,0.0021017789840698242,0.6118701696395874,0.0021560192108154297,0.9991550445556641,-0.00299072265625,0.9991178512573242,0.9989471435546875,0,0
19,0.42962284991517663,0.002062082290649414,0.21641546487808228,0.0020334720611572266,0.9990296363830566,-0.00299072265625,0.9990072250366211,0.9989471435546875,0,0
20,0.4520030599087477,0.0015904903411865234,0.556117832660675,0.0020110607147216797,0.999075174331665,-0.00299072265625,0.9991040825843811,0.9989471435546875,0,0
21,0.47453747200779617,0.0019378662109375,-0.00023192170192487538,0.0019378662109375,0.9989471435546875,-0.00299072265625,0.9989471435546875,0.9989471435546875,0,0
22,0.49713253206573427,0.0013480186462402344,0.8535451292991638,0.0020394325256347656,0.991457462310791,-0.00299072265625,0.9961899518966675,0.9989471435546875,0,0
23,0.5199094989802688,0.0019527673721313477,0.021620631217956543,0.0019481182098388672,0.9989557266235352,-0.00299072265625,0.9989525675773621,0.9989471435546875,0,0
24,0.5423743380233645,0.0020939111709594727,0.4624786376953125,0.0021108388900756836,0.999108076095581,-0.00299072265625,0.9990760087966919,0.9989471435546875,0,0
25,0.5648751030676067,0.0020689964294433594,0.4556540846824646,0.002097010612487793,0.9991002082824707,-0.00299072265625,0.9990742206573486,0.9989471435546875,0,0
26,0.5872506820596755,0.002038717269897461,-3.396259307861328,0.997235894203186,0.9960943460464478,-0.00299072265625,0.9980525374412537,0.9989471435546875,0,0
27,0.60980563191697,0.0018208026885986328,0.5418419241905212,0.002038717269897461,0.9990862607955933,-0.00299072265625,0.999099612236023,0.9989471435546875,0,0
28,0.6323140440508723,0.0019378662109375,-0.00023251774837262928,0.0019378662109375,0.9989471435546875,-0.00299072265625,0.9951164722442627,0.9989471435546875,0,0
29,0.6551333069801331,0.0018262863159179688,0.5377287864685059,0.0020651817321777344,0.999098539352417,-0.00299072265625,0.9990981221199036,0.9989471435546875,0,0
30,0.6777269979938865,0.0019394159317016602,0.001816093921661377,0.0019385814666748047,0.9989476203918457,-0.00299072265625,0.9989475607872009,0.9989471435546875,0,0
31,0.7009095000103116,0.0019381046295166016,0.0002365708351135254,0.0019381046295166016,0.998947262763977,-0.00299072265625,0.998947262763977,0.9989471435546875,0,0
32,0.7236739669460803,0.0022846460342407227,0.719828724861145,0.002233266830444336,0.9992104768753052,-0.00299072265625,0.9914363026618958,0.9989471435546875,0,0
33,0.7469774880446494,0.0019435882568359375,0.00770258903503418,0.0019407272338867188,0.9989495277404785,-0.00299072265625,0.9989488124847412,0.9989471435546875,0,0
34,0.770438025938347,0.0022088289260864258,0.6708563566207886,0.002082228660583496,0.9990568161010742,-0.00299072265625,0.9990153312683105,0.9989471435546875,0,0
35,0.7977137910202146,0.0014476776123046875,0.5900469422340393,0.0020581483840942383,0.999110221862793,-0.00299072265625,0.9991062879562378,0.9989471435546875,0,0
